a,b,c,d,e,f,g,h,class
0.45,0.56,0.49,0.17,0.50,0.00,0.52,0.22,CYT
0.54,0.56,0.57,0.18,0.50,0.00,0.45,0.25,NUC
0.17,0.38,0.45,0.09,0.50,0.00,0.54,0.27,NUC
0.43,0.54,0.58,0.16,0.50,0.00,0.50,0.36,NUC
0.40,0.48,0.50,0.17,0.50,0.00,0.54,0.50,CYT
0.41,0.60,0.53,0.29,0.50,0.00,0.47,0.43,NUC
0.38,0.49,0.61,0.13,0.50,0.00,0.54,0.22,CYT
0.60,0.48,0.44,0.52,0.50,0.00,0.54,0.63,NUC
0.47,0.45,0.53,0.62,0.50,0.00,0.46,0.22,MIT
0.39,0.39,0.55,0.52,0.50,0.00,0.37,0.16,NUC
0.48,0.57,0.50,0.09,0.50,0.00,0.52,0.42,NUC
0.51,0.63,0.30,0.35,0.50,0.00,0.53,0.27,ME3
0.53,0.68,0.34,0.42,0.50,0.00,0.54,0.27,ME3
0.37,0.22,0.64,0.35,0.50,0.00,0.47,0.22,NUC
0.43,0.39,0.51,0.28,0.50,0.00,0.40,0.22,NUC
0.34,0.35,0.61,0.19,0.50,0.00,0.52,0.25,NUC
0.55,0.53,0.56,0.29,0.50,0.00,0.48,0.22,MIT
0.45,0.56,0.51,0.64,0.50,0.00,0.54,0.22,MIT
0.44,0.53,0.52,0.37,0.50,0.00,0.50,0.22,NUC
0.41,0.43,0.50,0.28,0.50,0.00,0.50,0.22,CYT
0.49,0.40,0.34,0.26,0.50,0.00,0.50,0.22,ME3
0.34,0.40,0.30,0.23,0.50,0.00,0.51,0.22,ME3
0.50,0.53,0.45,0.44,0.50,0.00,0.49,0.22,MIT
0.35,0.49,0.47,0.22,0.50,0.00,0.50,0.28,MIT
0.43,0.51,0.60,0.25,0.50,0.00,0.55,0.22,CYT
0.47,0.59,0.43,0.13,0.50,0.00,0.56,0.30,ME3
0.50,0.46,0.42,0.32,0.50,0.00,0.56,0.55,ME3
0.81,0.76,0.32,0.37,0.50,0.00,0.51,0.22,ME2
0.59,0.53,0.47,0.26,0.50,0.00,0.53,0.31,NUC
0.54,0.51,0.54,0.52,0.50,0.00,0.47,0.25,MIT
0.37,0.55,0.29,0.32,0.50,0.00,0.51,0.22,ME3
0.87,0.83,0.57,0.36,0.50,0.00,0.36,0.22,EXC
0.52,0.48,0.54,0.28,0.50,0.00,0.54,0.22,NUC
0.36,0.44,0.57,0.18,0.50,0.00,0.42,0.22,MIT
0.51,0.43,0.47,0.19,0.50,0.00,0.52,0.37,CYT
0.46,0.40,0.38,0.18,0.50,0.00,0.49,0.22,ME3
0.62,0.64,0.56,0.20,0.50,0.00,0.48,0.33,NUC
0.78,0.48,0.47,0.30,0.50,0.00,0.53,0.47,ME2
0.50,0.34,0.62,0.19,0.50,0.00,0.57,0.22,CYT
0.39,0.37,0.33,0.23,0.50,0.00,0.53,0.26,ME3
0.39,0.37,0.56,0.15,0.50,0.00,0.50,0.27,CYT
0.33,0.37,0.54,0.28,0.50,0.00,0.53,0.27,NUC
0.33,0.38,0.53,0.26,0.50,0.00,0.52,0.27,NUC
0.48,0.51,0.57,0.24,0.50,0.00,0.50,0.22,CYT
0.47,0.54,0.54,0.48,0.50,0.00,0.53,0.26,MIT
0.41,0.41,0.51,0.19,0.50,0.00,0.57,0.22,MIT
0.50,0.49,0.52,0.20,0.50,0.00,0.43,0.52,NUC
0.53,0.51,0.51,0.11,0.50,0.00,0.49,0.41,NUC
0.46,0.57,0.52,0.28,0.50,0.00,0.52,0.22,NUC
0.70,0.53,0.42,0.22,0.50,0.00,0.51,0.28,NUC
0.40,0.53,0.61,0.21,0.50,0.00,0.48,0.33,NUC
0.40,0.47,0.48,0.18,0.50,0.00,0.46,0.22,CYT
0.34,0.54,0.54,0.13,0.50,0.00,0.52,0.22,CYT
0.54,0.52,0.54,0.20,0.50,0.00,0.55,0.25,NUC
0.43,0.39,0.59,0.13,0.50,0.00,0.41,0.43,NUC
0.48,0.47,0.54,0.55,0.50,0.00,0.51,0.65,MIT
0.66,0.54,0.49,0.16,0.50,0.00,0.54,0.36,NUC
0.74,0.56,0.35,0.36,0.50,0.00,0.51,0.25,ME2
0.59,0.57,0.43,0.26,0.50,0.00,0.51,0.22,MIT
0.51,0.42,0.56,0.38,0.50,0.00,0.46,0.22,MIT
0.52,0.50,0.59,0.31,0.50,0.00,0.50,0.22,MIT
0.42,0.53,0.53,0.64,0.50,0.00,0.47,0.22,MIT
0.60,0.51,0.60,0.38,0.50,0.83,0.52,0.24,MIT
0.45,0.43,0.63,0.40,0.50,0.00,0.59,0.11,MIT
0.44,0.44,0.67,0.35,0.50,0.00,0.48,0.26,MIT
0.56,0.50,0.61,0.49,0.50,0.00,0.46,0.28,MIT
0.36,0.38,0.56,0.44,0.50,0.00,0.48,0.22,MIT
0.62,0.59,0.54,0.47,0.50,0.00,0.46,0.22,MIT
0.55,0.50,0.60,0.31,0.50,0.00,0.46,0.27,MIT
0.40,0.74,0.49,0.16,0.50,0.00,0.51,0.22,MIT
0.49,0.44,0.45,0.55,0.50,0.00,0.48,0.22,MIT
0.49,0.46,0.42,0.46,0.50,0.00,0.55,0.22,NUC
0.53,0.40,0.57,0.12,0.50,0.00,0.53,0.32,NUC
0.46,0.46,0.56,0.12,0.50,0.00,0.55,0.22,MIT
0.39,0.35,0.49,0.17,0.50,0.00,0.49,0.22,NUC
0.51,0.46,0.54,0.41,0.50,0.00,0.53,0.22,MIT
0.50,0.36,0.53,0.41,0.50,0.00,0.55,0.36,CYT
0.49,0.44,0.51,0.18,0.50,0.00,0.52,0.27,CYT
0.35,0.44,0.54,0.26,0.50,0.00,0.52,0.26,NUC
0.43,0.28,0.53,0.34,0.50,0.00,0.55,0.57,NUC
0.45,0.21,0.49,0.24,0.50,0.00,0.46,0.31,NUC
0.87,0.47,0.60,0.47,0.50,0.00,0.59,0.22,NUC
0.29,0.34,0.55,0.24,0.50,0.00,0.51,0.22,CYT
0.64,0.76,0.51,0.18,0.50,0.00,0.46,0.22,NUC
0.90,0.54,0.59,0.20,0.50,0.00,0.48,0.22,NUC
0.75,0.66,0.64,0.39,0.50,0.00,0.46,0.32,MIT
0.41,0.49,0.58,0.22,0.50,0.00,0.52,0.22,MIT
0.58,0.51,0.56,0.16,0.50,0.00,0.34,0.22,NUC
0.48,0.49,0.45,0.23,0.50,0.00,0.51,0.22,ME3
0.39,0.42,0.49,0.10,0.50,0.00,0.49,0.65,NUC
0.51,0.46,0.57,0.25,0.50,0.00,0.53,0.22,CYT
0.37,0.42,0.60,0.13,0.50,0.00,0.51,0.22,NUC
0.56,0.68,0.52,0.39,0.50,0.00,0.36,0.22,MIT
0.48,0.52,0.49,0.35,0.50,0.50,0.51,0.22,MIT
0.57,0.49,0.50,0.20,0.50,0.00,0.51,0.28,CYT
0.45,0.41,0.49,0.14,1.00,0.00,0.53,0.30,CYT
0.74,0.74,0.51,0.27,0.50,0.00,0.50,0.22,EXC
0.31,0.30,0.34,0.19,0.50,0.00,0.55,0.30,ME3
0.49,0.48,0.52,0.20,0.50,0.00,0.55,0.22,NUC
0.36,0.39,0.54,0.16,0.50,0.00,0.50,0.28,NUC
0.54,0.53,0.48,0.14,0.50,0.00,0.49,0.33,NUC
0.49,0.71,0.54,0.13,0.50,0.00,0.58,0.22,NUC
0.45,0.47,0.53,0.15,0.50,0.00,0.52,0.27,CYT
0.63,0.55,0.53,0.51,0.50,0.00,0.55,0.22,VAC
0.33,0.35,0.56,0.19,0.50,0.00,0.50,0.22,NUC
0.33,0.39,0.52,0.09,0.50,0.00,0.47,0.28,NUC
0.52,0.37,0.48,0.13,0.50,0.00,0.55,0.22,NUC
0.33,0.21,0.53,0.15,1.00,0.00,0.52,0.50,NUC
0.45,0.45,0.52,0.17,0.50,0.00,0.54,0.22,CYT
0.59,0.46,0.48,0.46,0.50,0.00,0.49,0.22,CYT
0.45,0.27,0.50,0.33,0.50,0.00,0.53,0.26,CYT
0.36,0.33,0.38,0.15,0.50,0.00,0.55,0.36,ME3
0.49,0.45,0.54,0.40,0.50,0.00,0.55,0.22,MIT
0.24,0.41,0.47,0.16,0.50,0.00,0.51,0.38,NUC
0.36,0.48,0.50,0.13,0.50,0.00,0.49,0.60,NUC
0.49,0.49,0.51,0.29,0.50,0.00,0.52,0.71,NUC
0.51,0.61,0.50,0.23,0.50,0.00,0.52,0.61,NUC
0.53,0.46,0.54,0.37,0.50,0.00,0.51,0.30,NUC
0.32,0.49,0.53,0.28,0.50,0.00,0.50,0.50,NUC
0.45,0.52,0.50,0.12,0.50,0.00,0.60,0.22,CYT
0.56,0.51,0.32,0.49,0.50,0.00,0.48,0.22,NUC
0.47,0.45,0.51,0.33,0.50,0.00,0.46,0.26,NUC
0.43,0.44,0.64,0.19,0.50,0.00,0.38,0.33,NUC
0.54,0.55,0.56,0.14,0.50,0.00,0.50,0.25,CYT
0.56,0.49,0.54,0.15,0.50,0.00,0.50,0.35,NUC
0.48,0.45,0.63,0.19,0.50,0.00,0.58,0.22,NUC
0.46,0.53,0.47,0.37,0.50,0.00,0.51,0.36,NUC
0.37,0.30,0.51,0.15,0.50,0.00,0.58,0.26,NUC
0.35,0.33,0.48,0.42,0.50,0.00,0.47,0.43,CYT
0.57,0.43,0.52,0.30,0.50,0.00,0.37,0.11,CYT
0.38,0.43,0.53,0.22,0.50,0.00,0.48,0.11,CYT
0.43,0.22,0.79,0.79,0.50,0.00,0.22,0.00,CYT
0.35,0.39,0.56,0.20,0.50,0.00,0.49,0.41,CYT
0.69,0.54,0.55,0.23,0.50,0.00,0.73,0.22,CYT
0.56,0.61,0.52,0.19,0.50,0.00,0.52,0.32,NUC
0.52,0.43,0.61,0.22,0.50,0.00,0.45,0.22,CYT
0.48,0.41,0.52,0.33,0.50,0.00,0.51,0.26,CYT
0.39,0.65,0.57,0.19,0.50,0.00,0.44,0.25,CYT
0.38,0.50,0.52,0.44,0.50,0.00,0.54,0.11,CYT
0.41,0.49,0.65,0.28,0.50,0.00,0.59,0.57,CYT
0.53,0.57,0.60,0.36,0.50,0.00,0.50,0.22,CYT
0.34,0.25,0.55,0.28,0.50,0.00,0.51,0.49,CYT
0.59,0.54,0.53,0.14,0.50,0.00,0.48,0.22,CYT
0.54,0.64,0.40,0.56,0.50,0.00,0.51,0.22,MIT
0.60,0.51,0.49,0.18,0.50,0.00,0.53,0.38,CYT
0.49,0.38,0.56,0.09,0.50,0.00,0.46,0.22,CYT
0.46,0.47,0.44,0.18,1.00,0.00,0.46,0.22,ME2
0.44,0.71,0.50,0.21,0.50,0.00,0.54,0.27,CYT
0.44,0.51,0.53,0.30,0.50,0.00,0.53,0.22,CYT
0.37,0.42,0.46,0.15,0.50,0.00,0.51,0.31,ME2
0.48,0.51,0.50,0.24,0.50,0.00,0.54,0.38,CYT
0.48,0.50,0.47,0.29,0.50,0.00,0.46,0.27,NUC
0.49,0.49,0.52,0.18,0.50,0.00,0.51,0.25,NUC
0.85,0.69,0.34,0.31,0.50,0.00,0.57,0.30,ME1
0.56,0.59,0.45,0.15,0.50,0.00,0.54,0.22,MIT
0.40,0.49,0.53,0.23,0.50,0.00,0.44,0.26,NUC
0.80,0.69,0.53,0.33,0.50,0.00,0.51,0.22,ME2
0.40,0.43,0.36,0.33,0.50,0.00,0.51,0.22,ME3
0.47,0.56,0.51,0.20,0.50,0.00,0.52,0.59,NUC
0.57,0.51,0.34,0.13,0.50,0.00,0.53,0.27,MIT
0.45,0.57,0.38,0.28,0.50,0.00,0.53,0.31,ME3
0.54,0.47,0.58,0.40,0.50,0.00,0.46,0.27,MIT
0.46,0.41,0.45,0.23,0.50,0.00,0.48,0.22,NUC
0.50,0.45,0.51,0.19,0.50,0.00,0.53,0.25,CYT
0.77,0.73,0.49,0.46,0.50,0.00,0.38,0.22,EXC
0.38,0.58,0.46,0.21,0.50,0.00,0.52,0.22,NUC
0.37,0.29,0.45,0.15,0.50,0.00,0.49,0.22,NUC
0.59,0.49,0.45,0.22,0.50,0.00,0.45,0.31,NUC
0.47,0.32,0.51,0.24,0.50,0.00,0.54,0.27,NUC
0.52,0.56,0.55,0.16,0.50,0.00,0.53,0.39,CYT
0.60,0.46,0.51,0.10,0.50,0.00,0.48,0.31,CYT
0.44,0.39,0.63,0.11,0.50,0.00,0.49,0.26,NUC
0.70,0.58,0.53,0.39,0.50,0.00,0.59,0.22,EXC
0.49,0.31,0.43,0.24,0.50,0.00,0.54,0.22,ME3
0.38,0.51,0.56,0.21,0.50,0.00,0.48,0.31,NUC
0.36,0.37,0.63,0.25,0.50,0.00,0.30,0.22,CYT
0.88,0.72,0.32,0.30,0.50,0.00,0.52,0.33,ME1
0.36,0.50,0.39,0.23,0.50,0.00,0.50,0.22,ME3
0.58,0.64,0.42,0.30,0.50,0.00,0.54,0.22,NUC
0.74,0.82,0.46,0.24,0.50,0.00,0.50,0.31,EXC
0.39,0.39,0.65,0.16,0.50,0.00,0.45,0.22,CYT
0.51,0.59,0.55,0.21,0.50,0.00,0.52,0.22,CYT
0.78,0.73,0.27,0.28,0.50,0.00,0.56,0.22,ME1
0.31,0.51,0.38,0.18,0.50,0.00,0.46,0.31,ME3
0.39,0.47,0.49,0.20,0.50,0.00,0.53,0.26,CYT
0.49,0.48,0.52,0.24,0.50,0.00,0.50,0.22,CYT
0.52,0.45,0.53,0.34,0.50,0.00,0.52,0.44,CYT
0.58,0.51,0.63,0.20,0.50,0.00,0.50,0.42,NUC
0.38,0.42,0.50,0.19,0.50,0.00,0.44,0.22,CYT
0.33,0.36,0.62,0.26,0.50,0.00,0.55,0.22,CYT
0.38,0.42,0.50,0.19,0.50,0.00,0.44,0.22,CYT
0.47,0.56,0.58,0.19,0.50,0.00,0.44,0.64,CYT
0.41,0.46,0.57,0.25,0.50,0.00,0.57,0.38,CYT
0.44,0.55,0.51,0.16,0.50,0.00,0.60,0.22,CYT
0.79,0.79,0.42,0.26,0.50,0.00,0.60,0.22,ME1
0.53,0.51,0.54,0.21,0.50,0.00,0.45,0.22,NUC
0.44,0.49,0.49,0.27,0.50,0.00,0.52,0.22,CYT
0.57,0.36,0.51,0.25,0.50,0.00,0.54,0.25,CYT
0.45,0.76,0.51,0.25,0.50,0.00,0.59,0.22,CYT
0.48,0.44,0.51,0.24,0.50,0.00,0.49,0.22,CYT
0.59,0.70,0.46,0.19,0.50,0.00,0.54,0.44,CYT
0.27,0.43,0.50,0.13,0.50,0.00,0.54,0.31,CYT
0.49,0.36,0.47,0.28,0.50,0.00,0.56,0.54,NUC
0.34,0.42,0.48,0.19,0.50,0.00,0.46,0.31,NUC
0.60,0.57,0.63,0.22,0.50,0.00,0.50,0.49,NUC
0.50,0.47,0.45,0.14,0.50,0.00,0.53,0.32,ME3
0.36,0.51,0.51,0.17,0.50,0.00,0.52,0.22,VAC
0.57,0.54,0.32,0.15,0.50,0.00,0.52,0.25,VAC
0.40,0.36,0.32,0.16,0.50,0.00,0.51,0.27,VAC
0.50,0.55,0.52,0.16,0.50,0.00,0.51,0.31,CYT
0.46,0.52,0.51,0.13,0.50,0.00,0.47,0.22,CYT
0.64,0.56,0.52,0.17,0.50,0.00,0.54,0.47,NUC
0.39,0.63,0.41,0.27,0.50,0.00,0.49,0.22,ME3
0.57,0.53,0.60,0.28,0.50,0.00,0.52,0.45,NUC
0.47,0.41,0.46,0.18,0.50,0.00,0.53,0.22,ME3
0.32,0.30,0.57,0.38,0.50,0.00,0.50,0.25,NUC
0.28,0.41,0.46,0.18,0.50,0.00,0.47,0.39,NUC
0.45,0.50,0.43,0.16,0.50,0.00,0.52,0.28,ME3
0.25,0.41,0.47,0.14,0.50,0.00,0.56,0.68,NUC
0.58,0.63,0.52,0.70,0.50,0.00,0.46,0.22,MIT
0.67,0.61,0.39,0.24,0.50,0.00,0.51,0.22,ME3
0.71,0.64,0.42,0.28,0.50,0.00,0.43,0.22,EXC
0.39,0.33,0.33,0.23,0.50,0.00,0.47,0.22,ME3
0.77,0.68,0.35,0.19,0.50,0.00,0.53,0.43,ME1
0.51,0.59,0.46,0.13,0.50,0.00,0.48,0.22,MIT
0.77,0.74,0.37,0.29,0.50,0.00,0.45,0.22,ME1
0.41,0.45,0.46,0.23,0.50,0.00,0.50,0.70,CYT
0.61,0.48,0.54,0.25,0.50,0.00,0.50,0.22,CYT
0.81,0.62,0.43,0.17,0.50,0.00,0.53,0.22,ME2
